year,category,state,pledge_total,pledge_avg,goal_total,goal_avg,count,backers
2010,Technology,canceled,6874.47,254.61,412575,15280.55556,27,76
2010,Technology,failed,74010.63,666.7624324,1068047,9622.045045,111,1203
2010,Technology,successful,653547.37,10211.67766,328708,5136.0625,64,12418
2010,Theater,canceled,4075,135.8333333,200650,6688.333333,30,108
2010,Theater,failed,92430.82,471.5858163,2263090,11546.37755,196,1599
2010,Theater,successful,1172981.16,3609.1728,1033663.61,3180.503415,325,16379
2011,Art,canceled,56499.63,355.3435849,1458567,9173.377358,159,760
2011,Art,failed,543063.98,600.0706961,10715927.27,11840.80361,905,9331
2011,Art,successful,5223101.67,4514.348894,4135155.63,3574.032524,1157,78667
2011,Comics,canceled,37768.41,755.3682,607492,12149.84,50,478
2011,Comics,failed,157689.45,588.3934701,1746883.3,6518.221269,268,2989
2011,Comics,successful,1566590.02,5934.053106,996841,3775.912879,264,32027
2011,Crafts,canceled,2667,242.4545455,139643.5,12694.86364,11,76
2011,Crafts,failed,36555,689.7169811,529340,9987.54717,53,609
2011,Crafts,successful,128760.35,2739.581915,108685,2312.446809,47,2688
2011,Dance,canceled,8645.25,617.5178571,72900,5207.142857,14,100
2011,Dance,failed,63870,658.4536082,1433389.11,14777.20732,97,983
2011,Dance,successful,964654.52,3337.904913,834346,2887.010381,289,14124
2011,Design,canceled,93958.46,1105.393647,1447287,17026.90588,85,1540
2011,Design,failed,912672.69,2162.731493,7963933.42,18871.88014,422,12127
2011,Design,successful,7909055.29,30187.23393,2478068,9458.274809,262,119255
2011,Fashion,canceled,15753,225.0428571,600153,8573.614286,70,360
2011,Fashion,failed,176723.05,570.0743548,2241787.65,7231.573065,310,2535
2011,Fashion,successful,1121676.8,6337.157062,804841,4547.124294,177,14775
2011,Film & Video,canceled,559238.22,766.0797534,30077331.95,41201.82459,730,5666
2011,Film & Video,failed,3963293.94,1020.415536,84265063.54,21695.43346,3884,45661
2011,Film & Video,successful,27623956.31,8447.693061,23199797.92,7094.739425,3270,304210
2011,Food,canceled,19100.5,545.7285714,401040,11458.28571,35,341
2011,Food,failed,363154.7,1396.748846,3504776.74,13479.91054,260,4666
2011,Food,successful,2404170.11,10017.37546,1952665.19,8136.104958,240,28957
2011,Games,canceled,51188.29,710.9484722,22260811.47,309177.9371,72,861
2011,Games,failed,277815.4,740.8410667,4335857.63,11562.28701,375,6230
2011,Games,successful,3277163.47,13108.65388,1579999,6319.996,250,70146
2011,Journalism,canceled,5497,261.7619048,369909.33,17614.73,21,68
2011,Journalism,failed,47603.88,573.5407229,539485.77,6499.828554,83,673
2011,Journalism,successful,496143.44,7296.227059,406725,5981.25,68,7169
2011,Music,canceled,140524.52,342.7427317,26120703.47,63709.03285,410,2424
2011,Music,failed,1181552.7,515.5116492,15180611.65,6623.303512,2292,19728
2011,Music,successful,18179547.35,4999.875509,14717690.76,4047.769736,3636,266287
2011,Photography,canceled,27587.17,344.839625,722487.01,9031.087625,80,433
2011,Photography,failed,279209.02,605.6594794,3249250,7048.264642,461,4503
2011,Photography,successful,1798289.74,5304.689499,1492875.14,4403.761475,339,24335
2011,Publishing,canceled,83086.49,401.3840097,2093774.76,10114.85391,207,1343
2011,Publishing,failed,640314.72,559.7156643,8723210.02,7625.183584,1144,10085
2011,Publishing,successful,3992193.4,5560.157939,3073136.79,4280.134805,718,64607
2011,Technology,canceled,85986.18,1482.520345,1152424.5,19869.38793,58,1143
2011,Technology,failed,417077.17,1774.796468,5174070.36,22017.32068,235,5605
2011,Technology,successful,4135845.57,33086.76456,1403979.68,11231.83744,125,42842
2011,Theater,canceled,77069.71,917.4965476,1146115,13644.22619,84,896
2011,Theater,failed,294093.23,713.8185194,4159891.99,10096.82522,412,4268
2011,Theater,successful,3655127.18,3947.221577,3206330.02,3462.559417,926,49063
2012,Art,canceled,109924.87,563.7172821,2973391,15248.15897,195,1816
2012,Art,failed,1337005.82,854.3168179,18578282.89,11871.10728,1565,18338
2012,Art,successful,8657669.8,5083.775573,6561646.21,3852.99249,1703,128552
2012,Comics,canceled,38554.23,528.140137,935726.84,12818.17589,73,943
2012,Comics,failed,566635.46,1071.144537,6261661.19,11836.78864,529,11006
2012,Comics,successful,8507331.28,15725.19645,3300976.07,6101.619353,541,163173
2012,Crafts,canceled,5590,399.2857143,74475,5319.642857,14,137
2012,Crafts,failed,84937.36,502.587929,1031304.49,6102.393432,169,1676
